avg_amount,avg_price,daily_tx_count,daily_volume,event_market_name,max_amount,max_price,question,std_amount,std_price,token_outcome_name,trade_date
141.93922531558576,0.18720953099833962,503,146623.21975100008,Fed decision in July?,4374.7352,0.24,Fed decreases interest rates by 25 bps after July 2025 meeting?,361.44086867584787,0.03530091511305296,Yes-Fed decreases interest rates by 25 bps after July 2025 meeting?,2025-06-23
380.3374128703172,0.9846621591558912,298,131977.08226600007,Fed decision in July?,13130.05,0.9870000000000001,Fed decreases interest rates by 50+ bps after July 2025 meeting?,1426.2119889224905,0.000977163054755838,No-Fed decreases interest rates by 50+ bps after July 2025 meeting?,2025-06-23
17.68571568802698,0.01589485243716653,394,10487.629402999999,Fed decision in July?,932.55126,0.01900000001781946,Fed decreases interest rates by 50+ bps after July 2025 meeting?,54.109358671588225,0.0012966459368549685,Yes-Fed decreases interest rates by 50+ bps after July 2025 meeting?,2025-06-23
485.5704300373139,0.9939552238727917,268,130132.87525000011,Fed decision in July?,13250.02,0.9950000000000001,Fed increases interest rates by 25+ bps after July 2025 meeting?,1650.8025807232084,0.00032071249320106865,No-Fed increases interest rates by 25+ bps after July 2025 meeting?,2025-06-23
6.774948547677255,0.006085574530160823,337,2770.953955999997,Fed decision in July?,186.81954,0.007000000042,Fed increases interest rates by 25+ bps after July 2025 meeting?,23.09548250714881,0.0003834980452985455,Yes-Fed increases interest rates by 25+ bps after July 2025 meeting?,2025-06-23
102.40892647779489,0.20778895328613692,402,66873.02899000006,Fed decision in July?,3074.0282,0.26,No change in Fed interest rates after July 2025 meeting?,344.7033363245681,0.03508622590526513,No-No change in Fed interest rates after July 2025 meeting?,2025-06-23
468.586941009837,0.7941718081807857,413,285838.0340160006,Fed decision in July?,11859.1621,0.87,No change in Fed interest rates after July 2025 meeting?,1399.8890875976356,0.031887833796921075,Yes-No change in Fed interest rates after July 2025 meeting?,2025-06-23
60.80004792307693,0.5815384628753317,7,790.4006230000001,Fed decision in October?,320.3688,0.5900000000000001,Fed decreases interest rates by 25 bps after October 2025 meeting?,87.40650060149402,0.003755337487677151,No-Fed decreases interest rates by 25 bps after October 2025 meeting?,2025-06-23
48.47106869230768,0.4247089707305082,8,630.1238929999998,Fed decision in October?,438.5385,0.43000000000000005,Fed decreases interest rates by 25 bps after October 2025 meeting?,118.76556776403487,0.007706570455922309,Yes-Fed decreases interest rates by 25 bps after October 2025 meeting?,2025-06-23
234.95764004545453,0.9346276203711672,15,5169.068080999999,Fed decision in October?,1854.42,0.939344087189514,Fed decreases interest rates by 50+ bps after October 2025 meeting?,524.5893925994018,0.0032871189437062355,No-Fed decreases interest rates by 50+ bps after October 2025 meeting?,2025-06-23
15.811861923076918,0.06428193453068978,18,411.1084099999999,Fed decision in October?,145.67048,0.0699999579999972,Fed decreases interest rates by 50+ bps after October 2025 meeting?,37.62973604133462,0.0033874871019578317,Yes-Fed decreases interest rates by 50+ bps after October 2025 meeting?,2025-06-23
78.68068089473684,0.9790255638856886,13,1494.932937,Fed decision in October?,541.3128,0.981,Fed increases interest rates by 25+ bps after October 2025 meeting?,126.8146158057987,0.003309866603930682,No-Fed increases interest rates by 25+ bps after October 2025 meeting?,2025-06-23
3.518241538461538,0.022769226592845956,10,45.73714,Fed decision in October?,11.0,0.0289999723629987,Fed increases interest rates by 25+ bps after October 2025 meeting?,3.8439338167746553,0.0038977244327791506,Yes-Fed increases interest rates by 25+ bps after October 2025 meeting?,2025-06-23
46.65967327777778,0.49833333625649945,18,839.874119,Fed decision in October?,276.18,0.510000005326087,No change in Fed interest rates after October 2025 meeting?,67.36343417303611,0.0070710611162960605,No-No change in Fed interest rates after October 2025 meeting?,2025-06-23
